election,start.election,end.election,jump.date,what,start.result,end.result
2007,9/10/04,24/11/07,4/12/06,ALP,37.63,43.38
2007,9/10/04,24/11/07,4/12/06,ALP2PP,47.26,52.7
2007,9/10/04,24/11/07,4/12/06,GRN,7.19,7.79
2007,9/10/04,24/11/07,4/12/06,LNP,46.71,42.09
2007,9/10/04,24/11/07,4/12/06,LNP2PP,52.74,47.3
2007,9/10/04,24/11/07,4/12/06,OTH,8.47,6.74
2010,24/11/07,21/8/10,23/6/10,ALP,43.38,37.99
2010,24/11/07,21/8/10,23/6/10,ALP2PP,52.7,50.12
2010,24/11/07,21/8/10,23/6/10,GRN,7.79,11.76
2010,24/11/07,21/8/10,23/6/10,LNP,42.09,43.32
2010,24/11/07,21/8/10,23/6/10,LNP2PP,47.3,49.88
2010,24/11/07,21/8/10,23/6/10,OTH,6.74,6.91
2013,21/8/10,7/9/13,27/6/13,ALP,37.99,33.38
2013,21/8/10,7/9/13,27/6/13,ALP2PP,50.12,46.51
2013,21/8/10,7/9/13,27/6/13,GRN,11.76,8.65
2013,21/8/10,7/9/13,27/6/13,LNP,43.32,45.55
2013,21/8/10,7/9/13,27/6/13,LNP2PP,49.88,53.49
2013,21/8/10,7/9/13,27/6/13,OTH,6.91,12.42
2016,7/9/13,2/7/16,15/9/15,ALP,33.38,34.73
2016,7/9/13,2/7/16,15/9/15,ALP2PP,46.51,49.64
2016,7/9/13,2/7/16,15/9/15,GRN,8.65,10.23
2016,7/9/13,2/7/16,15/9/15,LNP,45.55,42.05
2016,7/9/13,2/7/16,15/9/15,LNP2PP,53.49,50.36
2016,7/9/13,2/7/16,15/9/15,OTH,12.42,12.99
2019,2/7/16,18/5/19,24/8/18,ALP,34.73,33.34
2019,2/7/16,18/5/19,24/8/18,ALP2PP,49.64,48.47
2019,2/7/16,18/5/19,24/8/18,GRN,10.23,10.4
2019,2/7/16,18/5/19,24/8/18,LNP,42.05,41.44
2019,2/7/16,18/5/19,24/8/18,LNP2PP,50.36,51.53
2019,2/7/16,18/5/19,24/8/18,OTH,12.99,14.82